,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,52.91019003622776,-22.8530741501624,28.4,79,75,17.9
1,-15.447485938419405,-3.1575453354780336,82.12,100,76,14.67
2,-1.7787153220528467,-44.617732371811115,86.35,98,68,4.72
3,18.151711520230563,177.4141314194573,79.6,100,0,8.75
4,23.964244840752556,-44.18185083615833,91.84,43,20,10.76
5,-14.62826885703329,148.26443891715553,83.11,99,68,17.58
6,-55.13159641085672,-159.46596926753682,36.49,100,44,24.29
7,3.053905350663058,-96.97913577694857,83.83,100,56,4.61
8,-66.4901161170452,-47.83638506308134,19.84,100,92,12.44
9,77.48514578753031,158.4605066280056,-1.22,93,68,26.31
10,-3.872779692080087,137.39940117340643,83.83,100,8,5.61
11,18.57439513916033,55.17676612111026,79.51,100,0,7.96
12,17.17850447700164,38.43880194594843,80.5,100,0,8.75
13,1.2190905979634579,105.42838940231064,84.37,100,0,4.61
14,-0.7858790056072138,38.38761311159985,84.91,100,0,2.59
15,44.760242205743396,-98.9660466452973,40.63,87,0,13.11
16,-54.33414231024968,-99.30939627585269,36.94,100,68,24.52
17,71.5627260521247,12.66957899438475,1.48,81,68,18.7
18,26.875706032540975,-18.328978886686997,92.56,28,56,5.95
19,-87.57395412067353,-134.54447411765585,-80.24,0,0,3.6
20,41.93508137523369,9.611551995585444,53.6,87,90,4.47
21,8.758893108396933,-125.22427187035638,83.47,100,0,1.59
22,59.8193066516086,-57.12443010525078,24.25,100,56,7.85
23,61.40219283393023,0.7650042006882813,26.6,58,20,11.18
24,4.757388158540152,-56.530494258790924,83.47,100,92,2.71
25,-66.00351493040915,80.49108936830515,21.64,100,88,11.21
26,8.532860302929393,-82.9668798322082,83.47,100,0,1.25
27,29.65759290649345,-68.34877850269822,74.29,64,80,4.05
28,-42.70941264070063,7.451059422207408,53.23,100,12,21.5
29,-13.590114767702559,101.25118078924504,83.47,99,64,19.04
30,78.48399805583773,-162.4990875642075,-4.01,93,48,26.42
31,21.811828224004657,-36.50448571609428,89.6,62,40,3.36
32,-56.51616895654917,-159.79043897959272,34.96,100,80,17.25
33,66.86308428772307,3.255167062692493,-2.93,87,12,5.17
34,86.72910365007661,-44.074175232011754,-4.1,80,56,7.4
35,19.042810869277275,-122.25298113106098,79.42,100,0,6.96
36,77.8983023795956,-108.25813883013058,-2.39,86,44,27.09
37,-11.633859844156191,-93.28473000461949,81.94,100,64,9.75
38,40.018294477504924,4.5308396464398015,55.4,66,80,8.95
39,-1.1121544021529672,-61.4979712681816,85.72,100,0,0.92
40,-50.19751603949955,96.56043494095104,39.64,100,88,21.72
41,71.14041352922555,-159.6479217716677,1.48,81,68,18.7
42,-78.33301762746093,-100.9131634394689,-48.47,0,8,19.26
43,-35.759347915384495,-117.32078112842754,63.04,100,56,9.64
44,-14.987780846619998,52.37627399588834,82.39,100,68,16.02
45,-30.818377556839508,-0.017982133898726715,72.94,100,92,2.59
46,-81.89068417175751,126.41371579051679,-73.49,0,20,3.83
47,62.914092455808316,-138.4551479613477,24.61,72,64,4.72
48,-72.57522952076056,168.23829442791117,-2.66,68,68,2.15
49,74.70856097576291,-46.28910603685779,0.76,94,68,28.54
50,9.734094861573794,-62.839217277316735,83.29,100,0,2.37
51,51.61911473022505,-32.194530144161035,29.11,98,56,13.11
52,-14.495559112952606,138.69024113992737,83.11,99,68,17.58
53,-0.28543865018144743,102.93947195123451,85.09,100,0,5.84
54,-9.410574487930049,125.68173083196649,83.11,100,0,8.19
55,-43.03694634777255,67.21525052374284,52.33,100,88,21.5
56,-4.3524472803704555,-151.43270768469193,83.74,100,56,5.84
57,48.54187864813184,141.1277811827207,33.88,96,32,7.07
58,-42.90585496539091,47.326812232137115,52.33,100,88,21.5
59,33.509629425005215,8.714877348213008,64.93,39,20,2.71
60,-50.728874416136776,158.49728130386006,39.28,100,80,22.28
61,-88.09611347396634,-75.79574581942009,-76.19,0,0,6.73
62,38.86611181602521,155.38611121412708,62.6,51,75,2.24
63,-44.67194265708637,80.7181863699767,49.27,100,76,18.48
64,67.9261656099701,-1.1367815031913722,-2.03,84,32,15.68
65,63.13346479904703,-146.54986373739285,24.61,72,64,4.72
66,42.24672762811369,-110.62987856715276,53.6,87,90,4.47
67,-75.75943918330002,-113.69165539091163,-17.33,57,64,11.99
