Timestamp,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
2018-04-05 21:55:06,0.4939,Thu Apr 05 21:55:06 +0000 2018,0.0,0.882,0.118,BBCNews,"RT @bbc5live: “He was an absolute genius…He could work out the finishes quicker than anyone else.

He was brash, he was confident, he was a…"
2018-04-05 22:11:44,0.0,Thu Apr 05 22:11:44 +0000 2018,0.0,1.0,0.0,BBCNews,"Friday's i: ""I will not talk to Russia"" (via @hendopolis) #tomorrowspaperstoday https://t.co/Tm17miEmq5"
2018-04-06 00:30:18,0.0,Fri Apr 06 00:30:18 +0000 2018,0.0,1.0,0.0,BBCNews,Student loan repayment threshold rises https://t.co/UuYjQt3XY5
2018-04-06 00:30:18,-0.4404,Fri Apr 06 00:30:18 +0000 2018,0.293,0.707,0.0,BBCNews,Pension contribution increases a 'harsh jolt' for millions https://t.co/LsY6knLyd1
2018-04-06 00:30:18,0.0,Fri Apr 06 00:30:18 +0000 2018,0.0,1.0,0.0,BBCNews,"Soft drink sugar tax starts, but will it work? https://t.co/541IXdFnBj"
2018-04-06 03:09:09,0.3818,Fri Apr 06 03:09:09 +0000 2018,0.0,0.698,0.302,BBCNews,Labour urges rethink on mortgage benefits https://t.co/wobUPOVIuJ
2018-04-06 06:05:59,0.0,Fri Apr 06 06:05:59 +0000 2018,0.0,1.0,0.0,BBCNews,"RT @BBCSport: So far on Day 2.

🚴‍♀️ Katie Archibald qualified fastest in the pursuit. 
🏓  Anna Hursey, 11, helped Wales qualify for table…"
2018-04-06 06:48:45,0.0,Fri Apr 06 06:48:45 +0000 2018,0.0,1.0,0.0,BBCNews,RT @bbcweather: It'll turn drier across many areas this evening and into the first part of the night with rain clearing away northwards. Mi…
2018-04-06 06:48:57,-0.6249,Fri Apr 06 06:48:57 +0000 2018,0.17,0.83,0.0,BBCNews,RT @BBCNewsbeat: Conor McGregor @TheNotoriousMMA has handed himself in to police after violence at a UFC media event in New York https://t.…
2018-04-06 08:56:49,-0.6808,Fri Apr 06 08:56:49 +0000 2018,0.237,0.763,0.0,BBCNews,RT @BBCNewsbeat: Conor McGregor has been charged with assault following an incident at a UFC event in New York 👉 https://t.co/kI4vrAHxls ht…
2018-04-06 09:07:17,0.4404,Fri Apr 06 09:07:17 +0000 2018,0.0,0.868,0.132,BBCNews,"RT @BBCWorld: It's not just spiders, scorpions and snakes 🕷️🦂🐍

Meet the pest controller keeping troops safe in Afghanistan https://t.co/4Y…"
2018-04-06 09:23:29,0.0,Fri Apr 06 09:23:29 +0000 2018,0.0,1.0,0.0,BBCNews,Australia hostel stabbings: Mother to seek inquiry https://t.co/Uuhupk5J65
2018-04-06 09:30:59,-0.7845,Fri Apr 06 09:30:59 +0000 2018,0.463,0.537,0.0,BBCNews,Inga Maria Hauser murder: Police have 'suspect in mind' https://t.co/CE76ThSPQj
2018-04-06 09:43:22,-0.7269,Fri Apr 06 09:43:22 +0000 2018,0.217,0.783,0.0,BBCNews,"RT @VictoriaLIVE: ""The main reason young people carry knives is because they are scared, they fear for their lives, they think no-one is lo…"
2018-04-06 09:46:50,-0.34,Fri Apr 06 09:46:50 +0000 2018,0.112,0.888,0.0,BBCNews,"RT @BBCSteveR: Russia accuses the West of building a new ""Iron Curtain"". Our report from earlier this week. Camera/edit @mattgodtv Producer…"
2018-04-06 10:02:00,0.0,Fri Apr 06 10:02:00 +0000 2018,0.0,1.0,0.0,BBCNews,"Man, 73, smashes Porsche 911 through wall in Colchester https://t.co/yY3B4HqNb3"
